time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-01T01:27:54.660Z,37.6283333,-118.8235,10.3,0.48,md,13,232,0.01014,0.02,nc,nc72403445,2015-03-02T21:24:04.836Z,"13km E of Mammoth Lakes, California",earthquake
2015-03-01T01:29:49.480Z,38.8191681,-122.8098297,1.96,0.8,md,14,61,0.004225,0.03,nc,nc72403440,2015-03-01T01:48:05.053Z,"6km NW of The Geysers, California",earthquake
2015-03-01T01:32:20.540Z,38.8208351,-122.7770004,2.25,0.81,md,16,63,0.008094,0.03,nc,nc72403450,2015-03-01T01:58:05.461Z,"4km W of Cobb, California",earthquake
2015-03-01T01:37:06.000Z,60.1287,-141.4145,0,1.1,ml,,,,0.84,ak,ak11520349,2015-03-05T02:12:11.867Z,"56km E of Cape Yakataga, Alaska",earthquake
2015-03-01T01:40:53.000Z,61.6987,-150.7597,60.1,1.5,ml,,,,0.48,ak,ak11520350,2015-03-05T02:12:12.590Z,"38km W of Willow, Alaska",earthquake
2015-03-01T01:42:23.560Z,33.5096667,-116.462,9.25,0.58,ml,13,192,0.03328,0.19,ci,ci37105847,2015-03-02T18:08:46.415Z,"20km ESE of Anza, California",earthquake
2015-03-01T01:42:53.240Z,0.9003,-28.2582,10,4.6,mb,,74,10.144,0.95,us,usc000tu46,2015-03-27T23:48:32.599Z,"Central Mid-Atlantic Ridge",earthquake
2015-03-01T01:46:04.000Z,60.6875,-152.5699,119.3,1.4,ml,,,,0.58,ak,ak11522372,2015-03-05T02:13:45.396Z,"24km NNE of Redoubt Volcano, Alaska",earthquake
2015-03-01T01:47:03.350Z,39.1471667,-123.5098333,5.25,2.58,md,42,104,0.0357,0.11,nc,nc72403460,2015-03-18T19:05:08.453Z,"19km NW of Boonville, California",earthquake
2015-03-01T01:52:49.530Z,36.1451667,-117.8775,5.48,0.14,ml,8,249,0.03295,0.08,ci,ci37105855,2015-03-02T20:57:07.828Z,"13km NNE of Coso Junction, California",earthquake
2015-03-01T01:55:24.101Z,41.8467,-119.6567,6.3216,0.96,ml,4,318.55,0.15,0.0814,nn,nn00485443,2015-03-03T05:35:38.531Z,"68km ESE of Lakeview, Oregon",earthquake
2015-03-01T02:01:10.210Z,41.4708333,-112.1791667,2.51,2.18,ml,28,73,0.131,0.15,uu,uu60103237,2015-03-02T22:46:55.540Z,"12km W of Perry, Utah",earthquake
2015-03-01T02:04:14.000Z,61.1502,-152.23,106.8,1.4,ml,,,,0.46,ak,ak11520352,2015-03-05T02:12:49.720Z,"72km NW of Nikiski, Alaska",earthquake
2015-03-01T02:10:29.000Z,63.1291,-150.1532,94.4,1.5,ml,,,,0.46,ak,ak11520354,2015-03-05T02:12:50.390Z,"67km WSW of Cantwell, Alaska",earthquake
2015-03-01T02:13:41.000Z,64.9002,-148.6957,17.9,1.2,ml,,,,0.63,ak,ak11520361,2015-03-05T02:12:48.474Z,"32km W of Ester, Alaska",earthquake
2015-03-01T02:23:09.840Z,33.205,137.833,343.73,4.1,mb,,80,1.497,0.51,us,usc000tu48,2015-03-28T00:18:44.289Z,"158km SSW of Oyama, Japan",earthquake
2015-03-01T02:30:46.000Z,60.2289,-140.2782,14.9,0.7,ml,,,,0.5,ak,ak11522376,2015-03-05T02:13:32.937Z,"82km NNW of Yakutat, Alaska",earthquake
2015-03-01T02:34:57.000Z,60.2176,-141.4129,0,1.1,ml,,,,0.82,ak,ak11520364,2015-03-05T02:12:49.025Z,"59km ENE of Cape Yakataga, Alaska",earthquake
2015-03-01T02:35:21.300Z,45.6133,-111.7348,6.9,1.1,mc,12,71.9999942400005,0.07545848,0.17,mb,mb15150580,2015-03-03T19:15:48.003Z,"34km SSW of Three Forks, Montana",earthquake
2015-03-01T02:38:05.000Z,63.2205,-150.7798,122.2,1.2,ml,,,,0.36,ak,ak11522378,2015-03-05T02:13:45.972Z,"93km W of Cantwell, Alaska",earthquake
2015-03-01T02:40:14.300Z,38.5248333,-122.4578333,13.61,1.81,md,44,57,0.1181,0.14,nc,nc72403475,2015-03-04T06:26:02.044Z,"1km SE of Deer Park, California",earthquake
2015-03-01T02:43:54.800Z,19.3838,-155.279,2.5,2.4,Ml,,46.8,0,0.08,hv,hv60862241,2015-03-04T01:17:36.660Z,"6km SW of Volcano, Hawaii",earthquake
2015-03-01T02:47:20.810Z,37.091,-97.847,7.27,3.5,mb_lg,,23,0.026,0.5,us,usc000tu4j,2015-04-10T21:25:31.150Z,"17km ESE of Anthony, Kansas",earthquake
2015-03-01T02:50:23.790Z,33.2388333,-116.174,9.76,0.84,ml,26,92,0.08133,0.36,ci,ci37105887,2015-03-02T18:08:36.187Z,"11km NNW of Ocotillo Wells, California",earthquake
2015-03-01T02:52:45.170Z,37.5088333,-119.3658333,7.51,1.04,md,14,110,0.1988,0.06,nc,nc72403480,2015-03-02T21:45:09.760Z,"31km SE of Yosemite Valley, California",earthquake
2015-03-01T02:53:22.000Z,53.4871,-166.2375,45.5,1.5,ml,,,,0.25,ak,ak11520365,2015-03-05T02:12:52.478Z,"47km SSE of Unalaska, Alaska",earthquake
2015-03-01T02:58:57.779Z,37.1489,-117.2631,10.4128,0.49,ml,10,171.65,0.249,0.1433,nn,nn00485101,2015-03-02T16:14:31.076Z,"52km WNW of Beatty, Nevada",earthquake
2015-03-01T02:59:45.815Z,37.1556,-117.2578,9.044,0.39,ml,8,153.65,0.251,0.1333,nn,nn00485584,2015-03-03T22:31:45.642Z,"52km WNW of Beatty, Nevada",earthquake
2015-03-01T02:59:50.900Z,19.2318,-67.1875,26,3,Md,6,338.4,0.76356799,0.3,pr,pr15060000,2015-03-28T00:28:28.409Z,"82km NNW of Isabela, Puerto Rico",earthquake
2015-03-01T03:00:40.000Z,63.4247,-149.9409,103.6,1,ml,,,,0.37,ak,ak11522380,2015-03-05T02:13:47.022Z,"49km W of Cantwell, Alaska",earthquake
2015-03-01T03:07:56.290Z,37.5708333,-119.3883333,13.79,1.23,md,17,127,0.2527,0.11,nc,nc72403495,2015-03-03T01:55:01.834Z,"25km SE of Yosemite Valley, California",earthquake
2015-03-01T03:09:18.020Z,38.8423347,-122.8016663,1.83,0.57,md,6,141,0.01973,0.03,nc,nc72403490,2015-03-01T05:32:03.368Z,"7km WNW of Cobb, California",earthquake
2015-03-01T03:13:43.100Z,33.0703333,-116.6056667,13.71,1,ml,25,69,0.01262,0.29,ci,ci37105895,2015-03-02T18:07:07.804Z,"1km SSW of Julian, California",earthquake
2015-03-01T03:27:28.120Z,38.8208351,-122.822998,3.36,0.56,md,7,164,0.009671,0.01,nc,nc72403505,2015-03-01T06:07:02.261Z,"7km NW of The Geysers, California",earthquake
2015-03-01T03:32:33.780Z,0.0556,124.4804,62,5.6,mwb,,18,2.026,0.9,us,usc000tu4z,2015-04-10T21:40:52.348Z,"66km ESE of Molibagu, Indonesia",earthquake
2015-03-01T03:46:57.690Z,38.8400002,-122.828331,2.61,0.85,md,7,71,0.005763,0.02,nc,nc72403510,2015-03-01T06:11:06.864Z,"9km WNW of Cobb, California",earthquake
2015-03-01T04:12:29.959Z,41.8533,-119.6408,7.9647,1.27,ml,4,224.21,0.153,0.192,nn,nn00485114,2015-03-01T11:42:54.248Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-01T04:22:36.300Z,47.3858333,-123.4445,43.68,1.89,ml,16,128,0.09507,0.16,uw,uw60977716,2015-03-02T03:20:08.950Z,"31km ESE of Quinault Census Designated Place, Washington",earthquake
2015-03-01T04:23:30.540Z,33.6986667,-116.7435,19.4,1.02,ml,42,38,0.02745,0.18,ci,ci37105911,2015-03-02T18:06:32.661Z,"5km SSW of Idyllwild, California",earthquake
2015-03-01T04:38:12.020Z,31.7228,104.0575,10,4.2,mb,,56,4.696,0.83,us,usc000tv9g,2015-03-28T03:35:05.986Z,"20km ENE of Fengyi, China",earthquake
2015-03-01T04:54:26.620Z,36.0563333,-117.6003333,1.1,0.67,ml,10,101,0.09022,0.15,ci,ci37105927,2015-03-02T18:06:49.746Z,"31km ENE of Little Lake, California",earthquake
2015-03-01T04:56:54.799Z,41.8779,-119.6259,9.2334,2.69,ml,5,122.62,0.147,0.1704,nn,nn00485104,2015-03-27T00:23:39.929Z,"68km ESE of Lakeview, Oregon",earthquake
2015-03-01T05:07:59.200Z,18.5811,-65.0316,31,2.2,Md,3,230.4,0.36112274,0.03,pr,pr15060002,2015-03-01T08:01:02.289Z,"28km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-03-01T05:08:01.080Z,33.9183333,-116.8065,14.32,0.84,ml,30,74,0.01919,0.24,ci,ci37105935,2015-03-02T18:06:38.742Z,"2km W of Cabazon, California",earthquake
2015-03-01T05:10:17.470Z,38.808,-122.7931667,2,0.19,md,10,68,0.001669,0.02,nc,nc72403530,2015-03-04T01:41:03.340Z,"4km NW of The Geysers, California",earthquake
2015-03-01T05:12:10.000Z,60.174,-141.3813,0,1.4,ml,,,,0.62,ak,ak11520387,2015-03-05T02:12:50.993Z,"59km ENE of Cape Yakataga, Alaska",earthquake
2015-03-01T05:15:59.700Z,36.1121,-97.4355,7.559,2.6,mb_lg,,85,,0.6,us,usc000tu54,2015-04-08T10:33:04.040Z,"22km NE of Crescent, Oklahoma",earthquake
2015-03-01T05:24:13.000Z,60.221,-151.5693,68.1,2,ml,,,,0.52,ak,ak11520390,2015-03-05T02:12:46.750Z,"21km SW of Cohoe, Alaska",earthquake
2015-03-01T05:25:07.970Z,38.8078346,-122.8030014,2.06,0.53,md,8,123,0.006016,0.05,nc,nc72403535,2015-03-01T07:27:07.588Z,"5km NW of The Geysers, California",earthquake
2015-03-01T05:31:08.010Z,38.8138333,-122.8121667,3.45,0.24,md,13,86,0.009687,0.02,nc,nc72403545,2015-03-04T01:47:34.740Z,"6km NW of The Geysers, California",earthquake
2015-03-01T05:32:12.110Z,38.7948341,-122.7919998,3.39,1.57,md,34,71,0.003592,0.03,nc,nc72403540,2015-03-01T08:25:04.413Z,"3km WNW of The Geysers, California",earthquake
2015-03-01T05:55:15.000Z,61.4555,-146.4945,22.1,1.5,ml,,,,0.46,ak,ak11520393,2015-03-05T02:12:47.547Z,"37km NNW of Valdez, Alaska",earthquake
2015-03-01T05:55:58.910Z,37.4561667,-118.811,0.45,0.8,md,9,138,0.1344,0.03,nc,nc72403550,2015-03-02T22:07:05.543Z,"25km SSE of Mammoth Lakes, California",earthquake
2015-03-01T05:57:25.240Z,33.8983333,-116.548,15.15,0.76,ml,21,67,0.07424,0.14,ci,ci37105943,2015-03-04T23:37:16.775Z,"0km SSW of Garnet, California",earthquake
2015-03-01T05:58:00.164Z,37.1519,-117.255,12.2562,0.97,ml,13,152.77,0.179,0.1676,nn,nn00485106,2015-03-01T22:26:47.900Z,"51km WNW of Beatty, Nevada",earthquake
2015-03-01T06:12:48.000Z,53.3999,-166.2983,43.4,1.9,ml,,,,0.29,ak,ak11520396,2015-03-05T02:12:26.514Z,"55km SSE of Unalaska, Alaska",earthquake
2015-03-01T06:15:12.000Z,60.166,-141.2253,0,1.4,ml,,,,1.03,ak,ak11520397,2015-03-05T02:12:45.322Z,"67km E of Cape Yakataga, Alaska",earthquake
2015-03-01T06:20:40.130Z,38.8123322,-122.8249969,2.95,1.13,md,18,77,0.004758,0.03,nc,nc72403555,2015-03-01T09:09:04.303Z,"7km WNW of The Geysers, California",earthquake
2015-03-01T06:27:31.000Z,59.8866,-141.6213,4.7,2.1,ml,,,,0.74,ak,ak11520410,2015-03-05T02:12:51.570Z,"49km ESE of Cape Yakataga, Alaska",earthquake
2015-03-01T06:33:34.700Z,34.7333333,-120.0901667,4.55,1.35,ml,13,47,0.08427,0.35,ci,ci37105951,2015-03-04T23:42:06.826Z,"8km NNE of Los Olivos, California",earthquake
2015-03-01T06:53:30.560Z,38.3573333,-122.3973333,9.25,2.11,md,77,58,0.0495,0.13,nc,nc72403560,2015-03-03T03:16:08.322Z,"5km SSW of Yountville, California",earthquake
2015-03-01T07:01:56.780Z,4.7307,125.7803,104.82,5.3,mb,,37,2.332,0.85,us,usc000tu5k,2015-04-11T05:50:23.040Z,"82km SSE of Sarangani, Philippines",earthquake
2015-03-01T07:05:43.970Z,38.8023338,-122.7731705,1.14,0.88,md,15,77,0.01239,0.04,nc,nc72403565,2015-03-01T09:47:02.555Z,"3km NNW of The Geysers, California",earthquake
2015-03-01T07:10:40.270Z,33.608,-117.9318333,10.86,1.32,ml,18,185,0.04528,0.32,ci,ci37105967,2015-03-02T18:06:28.939Z,"1km SSW of Newport Beach, California",earthquake
2015-03-01T07:11:55.000Z,64.9277,-162.4215,24.7,2.3,ml,,,,0.75,ak,ak11522387,2015-03-05T02:13:33.497Z,"141km NNW of Unalakleet, Alaska",earthquake
2015-03-01T07:16:48.350Z,34.1003,137.5307,321.87,4.1,mb,,67,0.789,0.95,us,usc000tu5n,2015-04-05T06:32:25.040Z,"67km SSE of Tahara, Japan",earthquake
2015-03-01T07:21:24.000Z,60.3688,-152.0123,73.5,1.1,ml,,,,0.24,ak,ak11522388,2015-03-05T02:13:47.679Z,"38km W of Cohoe, Alaska",earthquake
2015-03-01T07:23:56.000Z,61.7283,-151.274,80.1,1.2,ml,,,,0.48,ak,ak11522389,2015-03-05T02:13:48.289Z,"65km W of Willow, Alaska",earthquake
2015-03-01T07:27:53.350Z,38.8246667,-122.8538333,3.27,0.64,md,40,62,0.003728,0.06,nc,nc72403575,2015-03-03T21:49:02.982Z,"9km WNW of The Geysers, California",earthquake
2015-03-01T07:27:59.000Z,60.1427,-150.731,54.7,1.1,ml,,,,0.42,ak,ak11522390,2015-03-05T02:13:48.837Z,"40km SE of Cohoe, Alaska",earthquake
2015-03-01T07:32:32.000Z,59.8405,-152.2306,72.7,1.2,ml,,,,0.17,ak,ak11522391,2015-03-05T02:13:34.219Z,"23km WNW of Anchor Point, Alaska",earthquake
2015-03-01T07:38:20.000Z,60.3511,-140.6829,0,1,ml,,,,0.63,ak,ak11520436,2015-03-05T02:12:45.955Z,"101km ENE of Cape Yakataga, Alaska",earthquake
2015-03-01T07:45:21.000Z,59.995,-153.2869,131.4,2.9,ml,,,,0.65,ak,ak11520437,2015-04-05T06:44:09.040Z,"62km SSW of Redoubt Volcano, Alaska",earthquake
2015-03-01T07:49:35.210Z,38.840168,-122.8266678,2.67,0.43,md,7,104,0.007066,0.02,nc,nc72403580,2015-03-01T10:28:06.455Z,"9km WNW of Cobb, California",earthquake
2015-03-01T07:55:30.000Z,61.6309,-151.5317,77.2,1.1,ml,,,,0.49,ak,ak11522394,2015-03-05T02:13:49.739Z,"80km W of Willow, Alaska",earthquake
2015-03-01T07:58:08.000Z,60.2044,-141.3156,0,1.1,ml,,,,1.02,ak,ak11520445,2015-03-05T02:12:27.371Z,"63km ENE of Cape Yakataga, Alaska",earthquake
2015-03-01T08:02:37.000Z,19.1025,-155.4567,29.4,1.8,Md,,180,0.05389892,0.1,hv,hv60862641,2015-03-04T02:20:16.988Z,"11km SSE of Pahala, Hawaii",earthquake
2015-03-01T08:05:13.000Z,62.055,-148.9509,15.4,1.2,ml,,,,0.75,ak,ak11522396,2015-03-05T02:13:50.348Z,"29km N of Sutton-Alpine, Alaska",earthquake
2015-03-01T08:05:34.620Z,33.175,-116.015,7.61,1.29,ml,38,55,0.1076,0.3,ci,ci37105975,2015-03-02T18:13:32.720Z,"11km ENE of Ocotillo Wells, California",earthquake
2015-03-01T08:07:20.290Z,38.793,-122.7531667,1.45,0.51,md,10,98,0.009179,0.02,nc,nc72403590,2015-03-04T01:53:05.940Z,"1km N of The Geysers, California",earthquake
2015-03-01T08:14:43.000Z,63.1515,-150.6736,112.5,1.3,ml,,,,0.41,ak,ak11520446,2015-03-05T02:12:43.965Z,"90km WSW of Cantwell, Alaska",earthquake
2015-03-01T08:16:18.700Z,36.9314,-98.0279,5,2.7,mb_lg,,105,,0.52,us,usc000tu5x,2015-04-08T10:37:44.040Z,"24km S of Anthony, Kansas",earthquake
2015-03-01T08:25:08.450Z,34.4811667,-116.8305,9.08,1.41,ml,40,46,0.1132,0.21,ci,ci37105983,2015-03-02T18:13:25.140Z,"13km ENE of Lucerne Valley, California",earthquake
2015-03-01T08:30:03.040Z,13.4419,-90.9966,20,5.5,mww,,63,1.272,0.93,us,usc000tu5z,2015-04-11T06:02:44.349Z,"56km SSW of Puerto San Jose, Guatemala",earthquake
2015-03-01T08:35:13.000Z,63.1728,-150.7711,118.7,1.1,ml,,,,0.34,ak,ak11522398,2015-03-05T02:13:51.068Z,"94km WSW of Cantwell, Alaska",earthquake
2015-03-01T08:35:43.930Z,33.1785,-115.6015,1.35,1.18,ml,15,90,0.0119,0.2,ci,ci37105991,2015-03-02T21:00:57.561Z,"10km NW of Calipatria, California",earthquake
2015-03-01T08:36:10.950Z,33.6111667,-116.8226667,10.08,0.41,ml,18,89,0.02815,0.33,ci,ci37105999,2015-03-02T18:06:42.008Z,"15km WNW of Anza, California",earthquake
2015-03-01T08:37:08.000Z,60.8184,-147.5012,21.6,1.6,ml,,,,0.45,ak,ak11520447,2015-03-05T02:12:41.672Z,"64km E of Whittier, Alaska",earthquake
2015-03-01T08:42:20.393Z,41.8743,-119.6324,10.2461,0.83,ml,5,220.96,0.145,0.1678,nn,nn00485131,2015-03-01T15:16:08.359Z,"68km ESE of Lakeview, Oregon",earthquake
2015-03-01T08:47:22.351Z,41.8594,-119.6531,8.3444,1.64,ml,5,222.97,0.142,0.1419,nn,nn00485115,2015-03-01T11:49:56.105Z,"68km ESE of Lakeview, Oregon",earthquake
2015-03-01T08:50:37.750Z,33.4073333,-116.4358333,14.69,0.77,ml,30,53,0.1161,0.21,ci,ci37106007,2015-03-02T18:13:18.830Z,"18km NNW of Borrego Springs, California",earthquake
2015-03-01T08:57:29.670Z,-21.4061,170.2765,41.08,4.6,mb,,76,3.624,0.54,us,usc000tu61,2015-04-05T09:40:07.040Z,"213km WNW of Ile Hunter, New Caledonia",earthquake
2015-03-01T08:58:54.400Z,35.9501,-96.7749,4.673,3,mb_lg,,124,,0.68,us,usc000tu60,2015-04-08T10:39:16.040Z,"3km S of Cushing, Oklahoma",earthquake
2015-03-01T08:59:00.006Z,41.8471,-119.6454,6.5278,1.33,ml,4,225.13,0.155,0.1462,nn,nn00485444,2015-03-03T05:38:49.032Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-01T09:01:56.400Z,19.0109,-65.527,41,2.8,Md,8,277.2,0.73661853,0.07,pr,pr15060003,2015-04-11T06:13:27.040Z,"72km NNE of Vieques, Puerto Rico",earthquake
2015-03-01T09:32:33.200Z,38.8088341,-122.8238297,2.28,0.96,md,16,113,0.004179,0.04,nc,nc72403600,2015-03-01T11:23:03.216Z,"6km WNW of The Geysers, California",earthquake
2015-03-01T09:56:58.800Z,38.8434982,-122.8306656,2.38,0.84,md,15,63,0.006181,0.03,nc,nc72403605,2015-03-01T11:47:02.378Z,"9km WNW of Cobb, California",earthquake
2015-03-01T10:02:39.000Z,57.0129,-154.6923,20,2.8,ml,,,,1.17,ak,ak11520489,2015-03-15T08:43:00.040Z,"72km SW of Larsen Bay, Alaska",earthquake
2015-03-01T10:05:33.000Z,60.3352,-140.3034,8.6,0.9,ml,,,,0.72,ak,ak11520491,2015-03-05T02:12:28.173Z,"93km NNW of Yakutat, Alaska",earthquake
2015-03-01T10:22:30.830Z,38.8103333,-122.8143311,2.92,0.63,md,8,106,0.01169,0.01,nc,nc72403615,2015-03-01T12:33:02.614Z,"6km NW of The Geysers, California",earthquake
2015-03-01T10:23:22.830Z,36.0551667,-117.6,1.1,0.66,ml,12,100,0.08998,0.13,ci,ci37106015,2015-03-02T18:05:52.441Z,"31km ENE of Little Lake, California",earthquake
2015-03-01T10:24:41.360Z,23.5656,98.8545,10,5.2,mb,,25,3.868,0.77,us,usc000tu67,2015-04-11T06:15:48.040Z,"26km SSE of Nansan, China",earthquake
2015-03-01T10:41:10.110Z,47.0648333,-122.0315,18.2,0.79,md,10,144,0.1267,0.07,uw,uw60977761,2015-03-02T02:15:56.290Z,"10km S of Buckley, Washington",earthquake
2015-03-01T10:44:31.000Z,61.8827,-148.6775,36,1.1,ml,,,,0.67,ak,ak11520501,2015-03-05T02:12:42.468Z,"13km NE of Sutton-Alpine, Alaska",earthquake
2015-03-01T10:52:22.039Z,41.851,-119.6405,5.8631,0.93,ml,4,224.59,0.155,0.0861,nn,nn00485446,2015-03-03T05:42:11.484Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-01T10:55:59.750Z,44.6766667,-111.0265,7.49,0.42,md,8,85,0.045,0.19,uu,uu60103257,2015-03-02T22:50:33.410Z,"6km ENE of West Yellowstone, Montana",earthquake
2015-03-01T11:02:20.000Z,61.7403,-149.9416,44.3,1,ml,,,,0.4,ak,ak11520503,2015-03-05T02:13:51.693Z,"5km E of Willow, Alaska",earthquake
2015-03-01T11:06:44.000Z,63.1031,-151.5075,7.5,0.6,ml,,,,0.72,ak,ak11522404,2015-03-05T02:13:35.481Z,"112km NW of Talkeetna, Alaska",earthquake
2015-03-01T11:09:06.910Z,38.7949982,-122.7509995,1.21,0.57,md,8,85,0.0162,0.01,nc,nc72403620,2015-03-01T12:33:02.758Z,"2km NNE of The Geysers, California",earthquake
2015-03-01T11:13:05.670Z,34.046,-116.9078333,19.73,1.33,ml,68,39,0.05284,0.28,ci,ci37106023,2015-03-02T18:13:09.450Z,"12km E of Yucaipa, California",earthquake
2015-03-01T11:15:40.000Z,62.1314,-153.1517,2.2,2,ml,,,,0.7,ak,ak11520504,2015-03-05T02:12:40.118Z,"155km SE of McGrath, Alaska",earthquake
2015-03-01T11:22:00.820Z,33.6015,-116.816,9.69,0.3,ml,17,65,0.03889,0.14,ci,ci37106031,2015-03-02T18:05:39.703Z,"14km WNW of Anza, California",earthquake
2015-03-01T11:33:02.050Z,38.8359985,-122.8068314,1.72,0.43,md,6,139,0.01284,0.03,nc,nc72403625,2015-03-01T13:08:02.692Z,"7km WNW of Cobb, California",earthquake
2015-03-01T11:33:52.000Z,60.2758,-152.3606,81.3,1.4,ml,,,,0.34,ak,ak11520507,2015-03-05T02:12:53.742Z,"31km SE of Redoubt Volcano, Alaska",earthquake
2015-03-01T11:34:57.000Z,63.1298,-151.4394,5,0.7,ml,,,,0.72,ak,ak11522407,2015-03-05T02:13:52.315Z,"112km NW of Talkeetna, Alaska",earthquake
